Scenario isInFeas isInstSolved MemLim TimLim #Nodes Time NbMachUsed

Sc1 0 0 0 0.000000 -1.000000 9999999
Sc1 0 * * 0.000000 2.000000 224530
Sc1 1 1 0 0.000000 2.000000 515201
Sc1 1 * * 0.000000 1.750000 614993
Sc1 1 1 0 0.000000 2.000000 383751
Sc1 0 * * 0.000000 2.000000 362062
Sc1 1 1 0 0.000000 2.000000 235565
Sc1 1 * * 0.000000 1.750000 252657
Sc1 1 1 0 1.000000 2.000000 149514
Sc1 1 * * 0.000000 2.000000 157242
Sc1 1 1 0 0.000000 2.000000 320438
Sc1 1 * * 0.000000 2.000000 370509
Sc1 1 1 0 0.000000 2.000000 367971
Sc1 1 * * 0.000000 1.750000 379373
Sc1 1 1 0 0.000000 2.000000 197126
Sc1 1 * * 0.000000 1.583333 286147
Sc1 1 1 0 0.000000 1.000000 166736
Sc1 1 * * 0.000000 1.750000 240162
Sc1 1 1 0 0.000000 2.000000 195094
Sc1 1 * * 0.000000 2.000000 208479
Sc1 1 1 0 0.000000 2.000000 279463
Sc1 1 * * 0.000000 2.000000 279463
Sc1 1 1 0 0.000000 1.000000 465172
Sc1 1 * * 0.000000 1.000000 548071
Sc1 1 1 0 0.000000 2.000000 272844
Sc1 0 * * 0.000000 1.916667 260424
Sc1 1 1 0 0.000000 2.000000 306268
Sc1 1 * * 0.000000 2.000000 306268
Sc1 1 1 0 1.000000 2.000000 247693
Sc1 1 * * 0.000000 1.750000 272276
Sc1 1 1 0 0.000000 1.000000 288443
Sc1 1 * * 0.000000 1.916667 288443
Sc1 0 0 0 0.000000 -1.000000 9999999
Sc1 0 * * 0.000000 2.000000 252615
Sc1 1 1 0 0.000000 2.000000 445751
Sc1 1 * * 0.000000 1.000000 722691
Sc1 1 1 0 0.000000 2.000000 252595
Sc1 1 * * 0.000000 1.000000 368503
Sc1 1 1 0 0.000000 2.000000 202776
Sc1 1 * * 0.000000 2.000000 232667
Sc2 0 0 0 0.000000 -1.000000 9999999
Sc2 0 * * 0.000000 3.000000 279430
Sc2 0 0 0 0.000000 -1.000000 9999999
Sc2 0 * * 0.000000 2.250000 426396
Sc2 0 0 0 0.000000 -1.000000 9999999
Sc2 0 * * 0.000000 2.750000 405869
Sc2 0 0 0 0.000000 -1.000000 9999999
Sc2 0 * * 0.000000 2.000000 439234
Sc2 0 0 0 0.000000 -1.000000 9999999
Sc2 0 * * 0.000000 2.000000 375097
Sc2 1 1 0 1.000000 2.000000 340442
Sc2 1 * * 0.000000 2.500000 348463
Sc2 1 1 0 0.000000 2.000000 515906
Sc2 1 * * 0.000000 1.833333 559189
Sc2 0 0 0 0.000000 -1.000000 9999999
Sc2 0 * * 0.000000 1.916667 321160
Sc2 1 1 0 1.000000 2.000000 218447
Sc2 1 * * 0.000000 2.583333 256792
Sc2 0 0 0 0.000000 -1.000000 9999999
Sc2 0 * * 0.000000 2.833333 569749
Sc2 1 1 0 0.000000 2.000000 371170
Sc2 1 * * 0.000000 2.666667 559072
Sc2 1 1 0 1.000000 2.000000 336176
Sc2 1 * * 0.000000 2.666667 364802
Sc2 1 1 0 0.000000 3.000000 196254
Sc2 1 * * 0.000000 2.000000 265696
Sc2 1 1 0 1.000000 2.000000 299215
Sc2 1 * * 0.000000 2.416667 375610
Sc2 1 1 0 0.000000 2.000000 449494
Sc2 1 * * 0.000000 2.250000 498352
Sc2 0 0 0 0.000000 -1.000000 9999999
Sc2 0 * * 0.000000 2.166667 433692
Sc2 1 1 0 0.000000 2.000000 765950
Sc2 1 * * 0.000000 2.000000 852881
Sc2 1 1 0 0.000000 2.000000 480257
Sc2 1 * * 0.000000 2.666667 480644
Sc2 1 1 0 1.000000 2.000000 211334
Sc2 1 * * 0.000000 2.000000 265622
Sc2 0 0 0 0.000000 -1.000000 9999999
Sc2 0 * * 0.000000 2.000000 459602
Sc3 1 1 0 1.000000 3.000000 697406
Sc3 0 * * 0.000000 4.000000 757595
Sc3 1 1 0 1.000000 3.000000 1046434
Sc3 0 * * 0.000000 3.083333 1134959
Sc3 0 0 0 1.000000 -1.000000 9999999
Sc3 0 * * 0.000000 3.166667 798790
Sc3 1 1 18 2.000000 3.000000 681550
Sc3 0 * * 0.000000 2.833333 771698
Sc3 1 1 0 1.000000 3.000000 642969
Sc3 1 * * 0.000000 1.416667 793590
Sc3 1 1 13 3.000000 3.000000 649678
Sc3 1 * * 0.000000 2.750000 838590
Sc3 1 1 5 1.000000 3.000000 687229
Sc3 1 * * 0.000000 2.333333 793359
Sc3 1 1 0 1.000000 3.000000 693806
Sc3 0 * * 0.000000 2.916667 751996
Sc3 1 1 0 1.000000 3.000000 478191
Sc3 1 * * 0.000000 3.416667 626475
Sc3 1 1 0 0.000000 3.000000 578628
Sc3 1 * * 0.000000 2.000000 706837
Sc3 1 1 0 1.000000 3.000000 620070
Sc3 1 * * 0.000000 3.166667 711963
Sc3 1 1 0 1.000000 3.000000 854297
Sc3 1 * * 0.000000 3.666667 894037
Sc3 1 1 12 3.000000 3.000000 536958
Sc3 0 * * 0.000000 2.583333 655108
Sc3 1 1 5 1.000000 3.000000 768176
Sc3 0 * * 0.000000 3.750000 685718
Sc3 1 1 0 1.000000 3.000000 656760
Sc3 1 * * 0.000000 3.166667 782229
Sc3 1 1 0 1.000000 3.000000 426840
Sc3 1 * * 0.000000 2.416667 555594
Sc3 1 1 225 4.000000 4.000000 614073
Sc3 1 * * 0.000000 2.916667 893073
Sc3 1 1 34 2.000000 3.000000 893973
Sc3 1 * * 0.000000 3.333333 937390
Sc3 1 1 0 1.000000 3.000000 779883
Sc3 1 * * 0.000000 3.000000 858104
Sc3 1 1 0 1.000000 3.000000 586218
Sc3 1 * * 0.000000 3.000000 735326
Sc4 1 1 167 9.000000 5.000000 784991
Sc4 0 * * 1.000000 4.583333 925293
Sc4 1 1 993 14.000000 4.000000 864935
Sc4 0 * * 0.000000 4.083333 921671
Sc4 1 1 75 15.000000 4.000000 977031
Sc4 0 * * 0.000000 4.416667 1134880
Sc4 1 1 39 6.000000 4.000000 819745
Sc4 1 * * 0.000000 3.666667 923061
Sc4 1 1 9 5.000000 4.000000 621406
Sc4 1 * * 0.000000 4.583333 801969
Sc4 1 1 213 17.000000 4.000000 655111
Sc4 0 * * 0.000000 4.000000 816905
Sc4 1 1 49 6.000000 4.000000 685280
Sc4 1 * * 0.000000 3.166667 898732
Sc4 1 1 0 2.000000 4.000000 687150
Sc4 1 * * 0.000000 3.333333 771069
Sc4 1 1 0 3.000000 3.000000 524059
Sc4 1 * * 0.000000 3.916667 666876
Sc4 1 1 125 13.000000 4.000000 599453
Sc4 0 * * 0.000000 4.166667 670572
Sc4 1 1 246 5.000000 4.000000 771357
Sc4 0 * * 0.000000 4.833333 988150
Sc4 1 1 41 7.000000 4.000000 884930
Sc4 0 * * 0.000000 3.666667 1058506
Sc4 1 1 115 16.000000 4.000000 1062748
Sc4 0 * * 0.000000 3.833333 1253077
Sc4 1 1 9 4.000000 4.000000 772524
Sc4 0 * * 0.000000 3.916667 673874
Sc4 1 1 7 4.000000 4.000000 562608
Sc4 1 * * 0.000000 4.166667 670543
Sc4 1 1 79 7.000000 4.000000 831495
Sc4 0 * * 0.000000 3.916667 975381
Sc4 1 1 45 25.000000 4.000000 1012225
Sc4 0 * * 0.000000 3.916667 1061898
Sc4 1 1 234 8.000000 4.000000 719439
Sc4 1 * * 0.000000 3.666667 938015
Sc4 1 1 21 5.000000 3.000000 1262228
Sc4 0 * * 0.000000 3.916667 1340996
Sc4 1 1 39 4.000000 4.000000 784094
Sc4 1 * * 0.000000 4.166667 902965
Sc5 1 1 2167 81.000000 4.000000 1103363
Sc5 0 * * 0.000000 4.000000 814086
Sc5 1 1 602 73.000000 4.000000 967481
Sc5 0 * * 0.000000 4.000000 1134363
Sc5 1 1 1959 259.000000 4.000000 664024
Sc5 0 * * 0.000000 3.833333 965235
Sc5 1 1 237 26.000000 4.000000 935120
Sc5 1 * * 0.000000 3.500000 1153003
Sc5 1 1 147 12.000000 4.000000 891948
Sc5 1 * * 0.000000 3.750000 1114070
Sc5 1 1 2328 324.000000 4.000000 808707
Sc5 0 * * 0.000000 4.250000 1015560
Sc5 1 1 4196 160.000000 4.000000 759526
Sc5 1 * * 0.000000 4.000000 873819
Sc5 1 1 806 53.000000 4.000000 1115706
Sc5 1 * * 0.000000 4.000000 1354543
Sc5 1 0 11363 1801.000000 4.000000 1231267
Sc5 0 * * 0.000000 3.250000 1756700
Sc5 1 1 1223 18.000000 5.000000 778340
Sc5 0 * * 0.000000 4.166667 943155
Sc5 1 1 1016 115.000000 4.000000 1317207
Sc5 0 * * 0.000000 3.416667 1306849
