Sc(N/M); 1-cutLevel; UB; LB; nbVar; nbFixed; nbNode; statusCode; tempsTotal; nbConCut2;;Sc(N/M); 1-cutLevel; UB; LB; nbVar; nbFixed; nbNode; statusCode; tempsTotal; nbConCut2;;Sc(N/M); 1-cutLevel; UB; LB; nbVar; nbFixed; nbNode; statusCode; tempsTotal; nbConCut2
Sc4-10;28;594336;566985,26;9300;0;6716;102;70,34;2148;;Sc5-13;28;977110;945875,04;11760;0;2807;102;82,85;2568;;Sc6-6;28;1309111;1221152,73;18900;0;11501;102;163,93;3684
Sc4-10;29;594336;566985,26;9300;0;2356;102;94,77;2160;;Sc5-13;29;977110;945875,04;11760;0;4681;102;102,37;2604;;Sc6-6;29;1309111;1221152,73;18900;0;13157;102;200,54;3732
Sc4-10;30;594336;566985,26;9300;0;3598;102;98,15;2172;;Sc5-13;30;977110;945875,04;11760;0;3212;102;94,15;2640;;Sc6-6;30;1309111;1221152,73;18900;0;8439;102;186,65;3780
Sc4-10;31;594336;566985,26;9300;0;3606;102;59,84;2184;;Sc5-13;31;977110;945875,04;11760;0;3270;102;106,85;2676;;Sc6-6;31;1309111;1221152,73;18900;0;7667;102;149,68;3828
Sc4-10;32;594336;566985,26;9300;0;5520;102;69,5;2196;;Sc5-13;32;977110;945875,04;11760;0;3831;102;85,11;2712;;Sc6-6;32;1309111;1221152,73;18900;0;10253;102;170,53;3876
Sc4-10;33;594336;566985,26;9300;0;3020;102;72,72;2208;;Sc5-13;33;977110;945875,04;11760;0;1665;102;83,41;2748;;Sc6-6;33;1309111;1221152,73;18900;0;7395;102;154,42;3924
Sc4-10;34;594336;566985,26;9300;0;3020;102;72,6;2220;;Sc5-13;34;977110;945875,04;11760;0;3519;102;101,69;2784;;Sc6-6;34;1309111;1221152,73;18900;0;7720;102;149,96;3972
Sc4-10;35;594336;566985,26;9300;0;6250;102;65,76;2232;;Sc5-13;35;977110;945875,04;11760;0;3997;102;105,13;2820;;Sc6-6;35;1309111;1221152,73;18900;0;8840;102;164,16;4020
Sc4-10;36;594336;566985,26;9300;0;1704;102;74,83;2244;;Sc5-13;36;977110;945875,04;11760;0;3235;102;106,76;2856;;Sc6-6;36;1309111;1221152,73;18900;0;7894;102;229,35;4068
Sc4-10;37;594336;566985,26;9300;0;3080;102;121,28;2256;;Sc5-13;37;977110;945875,04;11760;0;2669;102;89,9;2892;;Sc6-6;37;1309111;1221152,73;18900;0;16093;102;208,42;4116
