Sc(N/M); isFea(E); isOpt(E); sol(E); errCodeLP; isOptNoPre; isAllFixed; nbVar; nbVarValid; nbFixed; UB; LB; dureePre; isMIP; isFea; isOpt; TimLim; MemLim; nbMach; nbNode;  statusCode; sol; tempsTotal; nbConCut1; nbConCut2; nbConCut3
Sc2-10; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc2-11; 1; 1; 371170.00; -1; 0; 0; 13500; 1512; 0; 371170.00; 344717.14; 0.35; 1; 1; 1; -1; -1; 2.83; 0; 1; 371170.00; 0.81; -1; -1; 12
Sc2-12; 1; 1; 336176.00; -1; 0; 0; 13500; 1728; 0; 336176.00; 292907.12; 0.42; 1; 1; 1; -1; -1; 2.83; 7; 1; 336176.00; 2.56; -1; -1; 12
Sc2-13; 1; 1; 196254.00; -1; 0; 0; 13500; 1656; 850; 196254.00; 196086.00; 0.51; 1; 1; 1; -1; -1; 3.00; 0; 1; 196254.00; 1.04; -1; -1; 12
Sc2-14; 1; 1; 299215.00; -1; 0; 0; 13500; 1548; 0; 299215.00; 247967.34; 0.42; 1; 1; 1; -1; -1; 2.83; 260; 102; 299215.00; 8.61; -1; -1; 12
Sc2-15; 1; 1; 448360.00; -1; 0; 0; 13500; 1656; 0; 448360.00; 404030.00; 0.35; 1; 1; 1; -1; -1; 2.83; 0; 1; 448360.00; 1.11; -1; -1; 12
Sc2-16; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc2-17; 1; 1; 765950.00; -1; 0; 0; 13500; 1476; 0; 765950.00; 719130.87; 0.40; 1; 1; 1; -1; -1; 2.83; 0; 1; 765950.00; 0.91; -1; -1; 12
Sc2-18; 1; 1; 480257.00; -1; 0; 0; 13500; 1656; 80; 483841.00; 457288.33; 0.49; 1; 1; 1; -1; -1; 2.75; 0; 1; 480257.00; 0.91; -1; -1; 12
Sc2-19; 1; 1; 211334.00; -1; 0; 0; 13500; 1440; 960; 211334.00; 211250.00; 0.48; 1; 1; 1; -1; -1; 2.50; 0; 1; 211334.00; 0.98; -1; -1; 12
Sc2-20; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc3-1; 1; 1; 697406.00; -1; 0; 0; 43968; 4296; 0; 697406.00; 669248.66; 1.05; 1; 1; 1; -1; -1; 3.92; 0; 1; 697406.00; 3.19; -1; -1; 12
Sc3-2; 1; 1; 1046434.00; -1; 0; 0; 43968; 4368; 0; 1061265.00; 1013478.06; 0.94; 1; 1; 1; -1; -1; 3.75; 5; 102; 1046434.00; 3.17; -1; -1; 12
Sc3-3; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc3-4; 1; 1; 681550.00; -1; 0; 0; 43968; 4872; 0; 685407.00; 651590.14; 0.88; 1; 1; 1; -1; -1; 3.67; 0; 102; 681550.00; 3.47; -1; -1; 12
Sc3-5; 1; 1; 642969.00; -1; 0; 0; 43968; 4584; 0; 649468.00; 625005.41; 0.82; 1; 1; 1; -1; -1; 3.00; 0; 102; 642969.00; 2.43; -1; -1; 12
Sc3-6; 1; 1; 649678.00; -1; 0; 0; 43968; 4224; 18; 650804.00; 632475.68; 0.96; 1; 1; 1; -1; -1; 3.83; 37; 102; 649692.00; 4.58; -1; -1; 12
Sc3-7; 1; 1; 685571.00; -1; 0; 0; 43968; 4152; 0; 697925.00; 652988.44; 0.74; 1; 1; 1; -1; -1; 3.92; 0; 1; 685557.00; 2.35; -1; -1; 12
Sc3-8; 1; 1; 691744.00; -1; 0; 0; 43968; 4800; 0; 693681.00; 621759.79; 0.85; 1; 1; 1; -1; -1; 3.00; 13; 1; 691744.00; 3.10; -1; -1; 12
Sc3-9; 1; 1; 478191.00; -1; 0; 0; 43968; 3936; 30; 478191.00; 457718.73; 0.90; 1; 1; 1; -1; -1; 3.67; 0; 102; 478177.00; 2.59; -1; -1; 12
Sc3-10; 1; 1; 578628.00; -1; 0; 0; 43968; 4152; 6; 578628.00; 562194.14; 0.82; 1; 1; 1; -1; -1; 3.00; 0; 1; 578628.00; 1.73; -1; -1; 12
Sc3-11; 1; 1; 620056.00; -1; 0; 0; 43968; 4152; 6; 578628.00; 562194.14; 0.82; 1; 1; 1; -1; -1; 3.00; 0; 1; 578628.00; 1.73; -1; -1; 12
