Sc(N/M); isFea(E); isOpt(E); sol(E); errCodeLP; isOptNoPre; isAllFixed; nbVar; nbVarValid; nbFixed; UB; LB; dureePre; isMIP; isFea; isOpt; TimLim; MemLim; nbMach; nbNode;  statusCode; sol; tempsTotal; nbConCut1; nbConCut2; nbConCut3
Sc0-0; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc0-1; 1; 1; 515201.00; -1; 0; 1; 3288; 492; 492; 515201.00; 515201.00; 0.06; 0; 1; 1; -1; -1; -1.00; -1; 0; 515201.00; 0.08; 1052; 300; -1
Sc0-2; 1; 1; 377075.00; -1; 0; 0; 3288; 516; 0; 377075.00; 348407.82; 0.05; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.05; 992; 216; -1
Sc0-3; 1; 1; 235565.00; -1; 0; 0; 3288; 444; 73; 235565.00; 233094.52; 0.03; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.05; 880; 204; -1
Sc0-4; 1; 1; 149514.00; -1; 0; 1; 3288; 492; 492; 149514.00; 149514.00; 0.05; 0; 1; 1; -1; -1; -1.00; -1; 0; 149514.00; 0.06; 1236; 252; -1
Sc0-5; 1; 1; 320438.00; -1; 0; 0; 3288; 444; 142; 320438.00; 318857.76; 0.05; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.06; 1268; 372; -1
Sc0-6; 1; 1; 367405.00; -1; 0; 0; 3288; 504; 79; 367405.00; 362138.69; 0.06; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.08; 1088; 324; -1
Sc0-7; 1; 1; 195980.00; -1; 0; 0; 3288; 444; 30; 195980.00; 189371.52; 0.05; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.05; 848; 312; -1
Sc0-8; 1; 1; 164420.00; -1; 0; 0; 3288; 444; 37; 164420.00; 159086.27; 0.05; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.08; 956; 240; -1
Sc0-9; 1; 1; 195094.00; -1; 0; 1; 3288; 468; 468; 195094.00; 195094.00; 0.05; 0; 1; 1; -1; -1; -1.00; -1; 0; 195094.00; 0.05; 1280; 324; -1
Sc0-10; 1; 1; 279463.00; -1; 0; 0; 3288; 468; 0; 279463.00; 231771.95; 0.02; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.03; 1060; 252; -1
Sc0-11; 1; 1; 465172.00; -1; 0; 1; 3288; 456; 456; 465172.00; 465172.00; 0.03; 0; 1; 1; -1; -1; -1.00; -1; 0; 465172.00; 0.05; 808; 180; -1
Sc0-12; 1; 1; 272844.00; -1; 0; 0; 3288; 456; 41; 272844.00; 267704.69; 0.08; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.08; 1164; 288; -1
Sc0-13; 1; 1; 306268.00; -1; 0; 1; 3288; 492; 492; 306268.00; 306268.00; 0.05; 0; 1; 1; -1; -1; -1.00; -1; 0; 306268.00; 0.05; 1216; 372; -1
Sc0-14; 1; 1; 247693.00; -1; 0; 1; 3288; 432; 432; 247693.00; 247693.00; 0.03; 0; 1; 1; -1; -1; -1.00; -1; 0; 247693.00; 0.06; 872; 276; -1
Sc0-15; 1; 1; 288443.00; -1; 0; 1; 3288; 468; 468; 288443.00; 288443.00; 0.03; 0; 1; 1; -1; -1; -1.00; -1; 0; 288443.00; 0.06; 968; 300; -1
Sc0-16; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc0-17; 1; 1; 445751.00; -1; 0; 0; 3288; 504; 0; 445751.00; 407004.12; 0.05; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.05; 928; 276; -1
Sc0-18; 1; 1; 252595.00; -1; 0; 0; 3288; 480; 18; 252595.00; 239895.57; 0.03; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.05; 1060; 264; -1
Sc0-19; 1; 1; 202776.00; -1; 1; 0; 3288; 456; 0; 202776.00; 202776.00; 0.00; 0; 1; 1; -1; -1; -1.00; -1; 0; 202776.00; 0.03; 940; 360; -1
Sc1-0; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-1; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-2; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-3; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-4; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-5; 1; 1; 340442.00; -1; 0; 0; 13500; 1872; 854; 340442.00; 340302.00; 0.20; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.27; 2296; 768; -1
Sc1-6; 1; 1; 515906.00; -1; 0; 0; 13500; 1656; 0; 515934.00; 454139.57; 0.16; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.19; 2728; 768; -1
Sc1-7; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-8; 1; 1; 218447.00; -1; 0; 0; 13500; 1548; 61; 218447.00; 214661.00; 0.31; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.37; 2880; 552; -1
Sc1-9; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-10; 1; 1; 371170.00; -1; 0; 0; 13500; 1512; 0; 371170.00; 344717.14; 0.11; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.14; 1732; 456; -1
Sc1-11; 1; 1; 336176.00; -1; 0; 0; 13500; 1728; 10; 336176.00; 314277.47; 0.23; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.30; 2108; 588; -1
Sc1-12; 1; 1; 196254.00; -1; 0; 0; 13500; 1656; 850; 196254.00; 196086.00; 0.14; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.20; 3048; 768; -1
Sc1-13; 1; 1; 299215.00; -1; 0; 0; 13500; 1548; 13; 299215.00; 283996.55; 0.27; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.31; 2344; 696; -1
Sc1-14; 1; 1; 448360.00; -1; 0; 0; 13500; 1656; 0; 448360.00; 419353.93; 0.19; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.22; 2060; 432; -1
Sc1-15; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-16; 1; 1; 765950.00; -1; 0; 0; 13500; 1476; 0; 765950.00; 719665.20; 0.14; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.17; 2176; 348; -1
Sc1-17; 1; 1; 480257.00; -1; 0; 0; 13500; 1656; 80; 480968.00; 457288.33; 0.13; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.17; 1952; 504; -1
Sc1-18; 1; 1; 211334.00; -1; 0; 0; 13500; 1440; 960; 211334.00; 211250.00; 0.11; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.16; 2196; 696; -1
Sc1-19; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc2-0; 1; 1; 697406.00; -1; 0; 0; 43968; 4296; 0; 697406.00; 669248.66; 0.47; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.61; 7160; 1500; -1
Sc2-1; 1; 1; 1046434.00; -1; 0; 0; 43968; 4368; 0; 1061265.00; 1016836.16; 0.69; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.84; 6476; 1332; -1
Sc2-2; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc2-3; 1; 1; 681550.00; -1; 0; 0; 43968; 4872; 0; 685407.00; 651590.14; 0.37; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.51; 6564; 1968; -1
Sc2-4; 1; 1; 642969.00; -1; 0; 0; 43968; 4584; 0; 649468.00; 625005.41; 0.34; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.48; 6192; 1764; -1
Sc2-5; 1; 1; 649678.00; -1; 0; 0; 43968; 4224; 18; 650804.00; 632475.68; 0.48; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.61; 6440; 1764; -1
Sc2-6; 1; 1; 685571.00; -1; 0; 0; 43968; 4152; 0; 697925.00; 667183.35; 0.62; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.76; 6964; 1632; -1
Sc2-7; 1; 1; 691744.00; -1; 0; 0; 43968; 4800; 0; 693681.00; 626744.90; 0.59; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.73; 5896; 1596; -1
Sc2-8; 1; 1; 478191.00; -1; 0; 0; 43968; 3936; 30; 478191.00; 457718.73; 0.45; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.61; 8092; 1956; -1
Sc2-9; 1; 1; 578628.00; -1; 0; 0; 43968; 4152; 6; 578628.00; 562194.14; 0.42; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.55; 6432; 1764; -1
Sc2-10; 1; 1; 620056.00; -1; 0; 0; 43968; 4368; 466; 621243.00; 614005.23; 0.98; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 1.12; 6048; 1800; -1
Sc2-11; 1; 1; 854297.00; -1; 0; 0; 43968; 4440; 0; 856078.00; 826506.79; 0.67; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.80; 6044; 1500; -1
Sc2-12; 1; 1; 534848.00; -1; 0; 0; 43968; 4584; 48; 538648.00; 522541.30; 0.80; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.94; 6552; 1704; -1
Sc2-13; 1; 1; 768176.00; -1; 0; 0; 43968; 4368; 0; 768176.00; 718297.83; 0.75; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.90; 6552; 1320; -1
Sc2-14; 1; 1; 656760.00; -1; 0; 0; 43968; 4008; 64; 656760.00; 639727.11; 0.81; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.95; 6908; 1560; -1
Sc2-15; 1; 1; 426840.00; -1; 0; 0; 43968; 4296; 471; 426840.00; 422144.06; 0.41; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.53; 6768; 1284; -1
Sc2-16; 1; 1; 614073.00; -1; 0; 0; 43968; 4296; 0; 614073.00; 589417.81; 1.54; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 1.68; 7904; 1500; -1
Sc2-17; 1; 1; 889584.00; -1; 0; 0; 43968; 4080; 0; 893973.00; 836331.55; 0.64; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.76; 6960; 1512; -1
