Sc(N/M); isFea(E); isOpt(E); sol(E); errCodeLP; isOptNoPre; isAllFixed; nbVar; nbVarValid; nbFixed; UB; LB; dureePre; isMIP; isFea; isOpt; TimLim; MemLim; nbMach; nbNode;  statusCode; sol; tempsTotal; nbConCut1; nbConCut2; nbConCut3
Sc2-18; 1; 1; 779883.00; -1; 0; 0; 43968; 4224; 676; 779883.00; 776485.00; 1.20; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 1.34; 6576; 1920; -1
Sc2-19; 1; 1; 586218.00; -1; 0; 0; 43968; 4512; 7; 586218.00; 569768.94; 0.66; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.80; 6080; 1380; -1
Sc3-0; 1; 1; 784819.00; -1; 0; 0; 98340; 9300; 0; 784991.00; 725235.75; 2.17; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 2.50; 13848; 2460; -1
Sc3-1; 1; 1; 861493.00; -1; 0; 0; 98340; 9540; 0; 862141.00; 780151.63; 2.07; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 2.40; 14212; 2436; -1
Sc3-2; 1; 1; 977031.00; -1; 0; 0; 98340; 8820; 0; 980050.00; 875411.95; 2.89; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 3.20; 11868; 2172; -1
Sc3-3; 1; 1; 818180.00; -1; 0; 0; 98340; 9420; 0; 829155.00; 800397.72; 3.13; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 3.45; 12472; 2316; -1
Sc3-4; 1; 1; 619845.00; -1; 0; 0; 98340; 8460; 0; 631066.00; 607724.82; 1.95; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 2.28; 14588; 2676; -1
Sc3-5; 1; 1; 655111.00; -1; 0; 0; 98340; 8820; 0; 666933.00; 612801.10; 2.04; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 2.36; 13372; 2136; -1
Sc3-6; 1; 1; 685280.00; -1; 0; 0; 98340; 8100; 120; 686324.00; 673060.77; 1.93; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 2.23; 14692; 2640; -1
Sc3-7; 1; 1; 687150.00; -1; 0; 0; 98340; 8820; 101; 691608.00; 678044.67; 1.86; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 2.18; 12828; 3000; -1
Sc3-8; 1; 1; 524059.00; -1; 0; 0; 98340; 8580; 4774; 524059.00; 523807.00; 1.00; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 1.29; 13252; 2676; -1
Sc3-9; 1; 1; 591784.00; -1; 0; 0; 98340; 9300; 0; 594336.00; 566985.26; 5.54; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 5.85; 13444; 2304; -1
Sc3-10; 1; 1; 771357.00; -1; 0; 0; 98340; 9060; 0; 774630.00; 752998.88; 3.70; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 3.99; 13424; 2304; -1
Sc3-11; 1; 1; 884930.00; -1; 0; 0; 98340; 9900; 0; 884958.00; 835046.25; 3.95; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 4.26; 12328; 2784; -1
Sc3-12; 1; 1; 1062748.00; -1; 0; 0; 98340; 10020; 0; 1069568.00; 1006504.66; 6.01; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 6.33; 13300; 2292; -1
Sc3-13; 1; 1; 772524.00; -1; 0; 0; 98340; 8940; 0; 779714.00; 723250.93; 2.39; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 2.68; 11444; 2124; -1
Sc3-14; 1; 1; 562608.00; -1; 0; 0; 98340; 7980; 0; 562622.00; 549483.52; 4.37; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 4.66; 13256; 2412; -1
Sc3-15; 1; 1; 824827.00; -1; 0; 0; 98340; 9300; 0; 830473.00; 777300.71; 2.00; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 2.29; 11460; 2316; -1
Sc3-16; 1; 1; 1001072.00; -1; 0; 0; 98340; 9420; 0; 1003591.00; 884989.72; 5.15; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 5.47; 13096; 2724; -1
Sc3-17; 1; 1; 717281.00; -1; 0; 0; 98340; 8220; 0; 721179.00; 698418.44; 1.19; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 1.50; 13640; 2892; -1
Sc3-18; 1; 1; 1262228.00; -1; 0; 0; 98340; 9180; 0; 1265815.00; 1145623.04; 3.24; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 3.56; 12856; 2436; -1
Sc3-19; 1; 1; 784094.00; -1; 0; 0; 98340; 8940; 2; 786200.00; 766632.69; 5.15; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 5.46; 13432; 2652; -1
Sc4-0; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc4-1; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc4-2; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc4-3; 1; 1; 935106.00; -1; 0; 0; 133620; 10560; 0; 948898.00; 906417.61; 1.14; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 1.54; 19136; 2520; -1
Sc4-4; 1; 1; 889899.00; -1; 0; 0; 133620; 11880; 0; 904102.00; 873711.48; 1.14; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 1.54; 18972; 2820; -1
Sc4-5; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc4-6; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc4-7; 1; 1; 1114549.00; -1; 0; 0; 133620; 11640; 0; 1120825.00; 1058096.70; 10.72; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 11.12; 18764; 2868; -1
Sc4-8; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc4-9; 1; 1; 774366.00; -1; 0; 0; 133620; 11040; 0; 780493.00; 735600.07; 5.37; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 5.77; 18072; 3012; -1
Sc4-10; 1; 1; 1315218.00; -1; 0; 0; 133620; 11640; 0; 1360047.00; 1233531.78; 7.41; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 7.86; 20632; 3696; -1
Sc4-11; 1; 1; 915068.00; -1; 0; 0; 133620; 10320; 0; 924495.00; 885778.69; 2.75; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 3.15; 19928; 2976; -1
Sc4-12; 1; 1; 969380.00; -1; 0; 0; 133620; 11760; 0; 977110.00; 945875.04; 5.41; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 5.83; 19148; 3360; -1
Sc4-13; 1; 1; 1113345.00; -1; 0; 0; 133620; 11280; 0; 1198215.00; 1015109.13; 3.14; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 3.57; 20256; 3144; -1
Sc4-14; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc4-15; 1; 1; 911205.00; -1; 0; 0; 133620; 12240; 0; 919921.00; 866585.55; 2.62; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 3.04; 17932; 3312; -1
Sc4-16; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc4-17; 1; 1; 914947.00; -1; 0; 0; 133620; 12240; 0; 925217.00; 853429.32; 3.31; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 3.74; 21256; 3684; -1
Sc4-18; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc4-19; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-0; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-1; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-2; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-3; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-4; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-5; 1; 1; 1305201.00; -1; 0; 0; 250632; 18900; 0; 1309111.00; 1221152.73; 10.83; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 11.57; 25980; 4692; -1
Sc5-6; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-7; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-8; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-9; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-10; 1; 1; 1442880.00; -1; 0; 0; 250632; 19440; 0; 1465775.00; 1390372.45; 10.03; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 10.86; 30884; 4860; -1
Sc5-11; 1; 1; 1201386.00; -1; 0; 0; 250632; 18720; 105; 1218077.00; 1140094.95; 6.15; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 6.89; 27724; 4404; -1
Sc5-12; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-13; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-14; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-15; 1; 1; 1510037.00; -1; 0; 0; 250632; 20880; 0; 1591547.00; 1419474.89; 11.19; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 11.95; 28020; 4308; -1
Sc5-16; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-17; 1; 1; 1102621.00; -1; 0; 0; 250632; 18720; 0; 1108512.00; 1009454.56; 12.07; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 12.81; 28816; 3780; -1
Sc5-18; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-19; 1; 1; 1439883.00; -1; 0; 0; 250632; 20880; 0; 1458148.00; 1378646.00; 10.33; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 11.09; 30064; 4044; -1
Sc6-0; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc6-1; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc6-2; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc6-3; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc6-4; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc6-5; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc6-6; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc6-7; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc6-8; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc6-9; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc6-10; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc6-11; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc6-12; 1; 1; 1227285.00; -1; 0; 0; 316944; 21816; 0; 1242888.00; 1188451.67; 19.89; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 20.83; 37480; 4932; -1
