Sc(N/M); isFea(E); isOpt(E); sol(E); errCodeLP; isOptNoPre; isAllFixed; nbVar; nbVarValid; nbFixed; UB; LB; dureePre; isMIP; isFea; isOpt; TimLim; MemLim; nbMach; nbNode;  statusCode; sol; tempsTotal; nbConCut1; nbConCut2; nbConCut3
Sc1-14; 1; 1; 448360.00; -1; 0; 0; 13500; 1656; 0; 448360.00; 419353.93; 0.16; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.20; -1; 432; -1
Sc1-15; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-16; 1; 1; 765950.00; -1; 0; 0; 13500; 1476; 0; 765950.00; 719665.20; 0.13; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.16; -1; 348; -1
Sc1-17; 1; 1; 480257.00; -1; 0; 0; 13500; 1656; 80; 480968.00; 457288.33; 0.13; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.17; -1; 504; -1
Sc1-18; 1; 1; 211334.00; -1; 0; 0; 13500; 1440; 960; 211334.00; 211250.00; 0.11; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.14; -1; 696; -1
Sc1-19; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc2-0; 1; 1; 697406.00; -1; 0; 0; 43968; 4296; 0; 697406.00; 669248.66; 0.48; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.61; -1; 1500; -1
Sc2-1; 1; 1; 1046434.00; -1; 0; 0; 43968; 4368; 0; 1061265.00; 1016836.16; 0.64; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.76; -1; 1332; -1
Sc2-2; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc2-3; 1; 1; 681550.00; -1; 0; 0; 43968; 4872; 0; 685407.00; 651590.14; 0.33; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.45; -1; 1968; -1
Sc2-4; 1; 1; 642969.00; -1; 0; 0; 43968; 4584; 0; 649468.00; 625005.41; 0.33; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.44; -1; 1764; -1
Sc2-5; 1; 1; 649678.00; -1; 0; 0; 43968; 4224; 18; 650804.00; 632475.68; 0.44; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.56; -1; 1764; -1
Sc2-6; 1; 1; 685571.00; -1; 0; 0; 43968; 4152; 0; 697925.00; 667183.35; 0.52; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.62; -1; 1632; -1
Sc2-7; 1; 1; 691744.00; -1; 0; 0; 43968; 4800; 0; 693681.00; 626744.90; 0.55; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.67; -1; 1596; -1
Sc2-8; 1; 1; 478191.00; -1; 0; 0; 43968; 3936; 30; 478191.00; 457718.73; 0.42; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.55; -1; 1956; -1
Sc2-9; 1; 1; 578628.00; -1; 0; 0; 43968; 4152; 6; 578628.00; 562194.14; 0.37; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.48; -1; 1764; -1
Sc2-10; 1; 1; 620056.00; -1; 0; 0; 43968; 4368; 488; 621243.00; 614005.23; 0.62; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.75; -1; 1800; -1
Sc2-11; 1; 1; 854297.00; -1; 0; 0; 43968; 4440; 0; 856078.00; 826506.79; 0.81; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.94; -1; 1500; -1
Sc2-12; 1; 1; 534848.00; -1; 0; 0; 43968; 4584; 48; 538648.00; 522541.30; 0.67; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.80; -1; 1704; -1
Sc2-13; 1; 1; 768176.00; -1; 0; 0; 43968; 4368; 0; 768176.00; 718297.83; 0.70; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.83; -1; 1320; -1
Sc2-14; 1; 1; 656760.00; -1; 0; 0; 43968; 4008; 64; 656760.00; 639727.11; 0.70; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.81; -1; 1560; -1
Sc2-15; 1; 1; 426840.00; -1; 0; 0; 43968; 4296; 471; 426840.00; 422144.06; 0.37; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.48; -1; 1284; -1
Sc2-16; 1; 1; 614073.00; -1; 0; 0; 43968; 4296; 0; 614073.00; 589417.81; 0.72; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.84; -1; 1500; -1
Sc2-17; 1; 1; 889584.00; -1; 0; 0; 43968; 4080; 0; 893973.00; 836331.55; 0.47; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.58; -1; 1512; -1
Sc2-18; 1; 1; 779883.00; -1; 0; 0; 43968; 4224; 676; 779883.00; 776485.00; 0.64; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.76; -1; 1920; -1
Sc2-19; 1; 1; 586218.00; -1; 0; 0; 43968; 4512; 7; 586218.00; 569768.94; 0.53; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.64; -1; 1380; -1
Sc3-0; 1; 1; 784819.00; -1; 0; 0; 98340; 9300; 0; 784991.00; 725235.75; 1.62; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 1.87; -1; 2460; -1
Sc3-1; 1; 1; 861493.00; -1; 0; 0; 98340; 9540; 0; 862141.00; 780151.63; 1.61; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 1.87; -1; 2436; -1
Sc3-2; 1; 1; 977031.00; -1; 0; 0; 98340; 8820; 0; 980050.00; 875411.95; 2.75; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 3.00; -1; 2172; -1
Sc3-3; 1; 1; 818180.00; -1; 0; 0; 98340; 9420; 0; 829155.00; 800397.72; 2.40; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 2.68; -1; 2316; -1
Sc3-4; 1; 1; 619845.00; -1; 0; 0; 98340; 8460; 0; 631066.00; 607724.82; 1.70; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 1.98; -1; 2676; -1
Sc3-5; 1; 1; 655111.00; -1; 0; 0; 98340; 8820; 0; 666933.00; 612801.10; 1.72; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 1.98; -1; 2136; -1
Sc3-6; 1; 1; 685280.00; -1; 0; 0; 98340; 8100; 120; 686324.00; 673060.77; 1.50; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 1.78; -1; 2640; -1
Sc3-7; 1; 1; 687150.00; -1; 0; 0; 98340; 8820; 101; 691608.00; 678044.67; 1.50; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 1.75; -1; 3000; -1
Sc3-8; 1; 1; 524059.00; -1; 0; 0; 98340; 8580; 4774; 524059.00; 523807.00; 0.92; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 1.19; -1; 2676; -1
Sc3-9; 1; 1; 591784.00; -1; 0; 0; 98340; 9300; 0; 594336.00; 566985.26; 2.34; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 2.62; -1; 2304; -1
Sc3-10; 1; 1; 771357.00; -1; 0; 0; 98340; 9060; 0; 774630.00; 752998.88; 1.98; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 2.26; -1; 2304; -1
Sc3-11; 1; 1; 884930.00; -1; 0; 0; 98340; 9900; 0; 884958.00; 835046.25; 2.75; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 3.03; -1; 2784; -1
Sc3-12; 1; 1; 1062748.00; -1; 0; 0; 98340; 10020; 0; 1069568.00; 1006504.66; 3.17; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 3.43; -1; 2292; -1
Sc3-13; 1; 1; 772524.00; -1; 0; 0; 98340; 8940; 0; 779714.00; 723250.93; 1.78; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 2.03; -1; 2124; -1
Sc3-14; 1; 1; 562608.00; -1; 0; 0; 98340; 7980; 0; 562622.00; 549483.52; 2.34; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 2.61; -1; 2412; -1
Sc3-15; 1; 1; 824827.00; -1; 0; 0; 98340; 9300; 0; 830473.00; 777300.71; 1.86; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 2.12; -1; 2316; -1
Sc3-16; 1; 1; 1001072.00; -1; 0; 0; 98340; 9420; 0; 1003591.00; 884989.72; 3.79; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 4.06; -1; 2724; -1
Sc3-17; 1; 1; 717281.00; -1; 0; 0; 98340; 8220; 0; 721179.00; 698418.44; 1.08; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 1.36; -1; 2892; -1
Sc3-18; 1; 1; 1262228.00; -1; 0; 0; 98340; 9180; 0; 1265815.00; 1145623.04; 1.78; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 2.06; -1; 2436; -1
Sc3-19; 1; 1; 784094.00; -1; 0; 0; 98340; 8940; 2; 786200.00; 766632.69; 2.59; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 2.84; -1; 2652; -1
Sc4-0; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc4-1; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc4-2; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc4-3; 1; 1; 935106.00; -1; 0; 0; 133620; 10560; 0; 948898.00; 906417.61; 0.97; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 1.29; -1; 2520; -1
Sc4-4; 1; 1; 889899.00; -1; 0; 0; 133620; 11880; 0; 904102.00; 873711.48; 0.97; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 1.29; -1; 2820; -1
Sc4-5; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc4-6; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc4-7; 1; 1; 1114549.00; -1; 0; 0; 133620; 11640; 0; 1120825.00; 1058096.70; 6.66; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 6.99; -1; 2868; -1
Sc4-8; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc4-9; 1; 1; 774366.00; -1; 0; 0; 133620; 11040; 0; 780493.00; 735600.07; 3.90; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 4.23; -1; 3012; -1
Sc4-10; 1; 1; 1315218.00; -1; 0; 0; 133620; 11640; 0; 1360047.00; 1233531.78; 3.71; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 4.06; -1; 3696; -1
Sc4-11; 1; 1; 915068.00; -1; 0; 0; 133620; 10320; 0; 924495.00; 885778.69; 1.87; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 2.20; -1; 2976; -1
Sc4-12; 1; 1; 969380.00; -1; 0; 0; 133620; 11760; 0; 977110.00; 945875.04; 1.92; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 2.25; -1; 3360; -1
Sc4-13; 1; 1; 1113345.00; -1; 0; 0; 133620; 11280; 0; 1198215.00; 1015109.13; 2.89; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 3.21; -1; 3144; -1
Sc4-14; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc4-15; 1; 1; 911205.00; -1; 0; 0; 133620; 12240; 0; 919921.00; 866585.55; 2.39; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 2.73; -1; 3312; -1
Sc4-16; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc4-17; 1; 1; 914947.00; -1; 0; 0; 133620; 12240; 0; 925217.00; 853429.32; 2.09; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 2.42; -1; 3684; -1
Sc4-18; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc4-19; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-0; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-1; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-2; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-3; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-4; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-5; 1; 1; 1305201.00; -1; 0; 0; 250632; 18900; 0; 1309111.00; 1221152.73; 5.69; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 6.30; -1; 4692; -1
Sc5-6; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-7; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-8; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-9; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-10; 1; 1; 1442880.00; -1; 0; 0; 250632; 19440; 0; 1465775.00; 1390372.45; 5.27; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 5.88; -1; 4860; -1
Sc5-11; 1; 1; 1201386.00; -1; 0; 0; 250632; 18720; 105; 1218077.00; 1140094.95; 5.12; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 5.72; -1; 4404; -1
Sc5-12; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-13; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-14; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-15; 1; 1; 1510037.00; -1; 0; 0; 250632; 20880; 0; 1591547.00; 1419474.89; 9.03; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 9.64; -1; 4308; -1
Sc5-16; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-17; 1; 1; 1102621.00; -1; 0; 0; 250632; 18720; 0; 1108512.00; 1009454.56; 19.05; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 19.66; -1; 3780; -1
Sc5-18; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-19; 1; 1; 1439883.00; -1; 0; 0; 250632; 20880; 0; 1458148.00; 1378646.00; 9.25; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 9.89; -1; 4044; -1
Sc6-0; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc6-1; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc6-2; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc6-3; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc6-4; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc6-5; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc6-6; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc6-7; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc6-8; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc6-9; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc6-10; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc6-11; 1; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc6-12; 1; 1; 1227285.00; -1; 0; 0; 316944; 21816; 0; 1242888.00; 1188451.67; 16.75; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 17.43; -1; 4932; -1
