Sc(N/M); isFea(E); isOpt(E); sol(E); errCodeLP; isOptNoPre; isAllFixed; nbVar; nbVarValid; nbFixed; UB; LB; dureePre; isMIP; isFea; isOpt; TimLim; MemLim; nbMach; nbNode;  statusCode; sol; tempsTotal; nbConCut1; nbConCut2; nbConCut3
Sc0-0; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc0-1; 1; 1; 515201.00; -1; 0; 0; 3288; 492; 255; 515201.00; 514416.64; 0.06; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.08; 1052; -1; -1
Sc0-2; 1; 1; 377075.00; -1; 0; 0; 3288; 516; 0; 377075.00; 321882.22; 0.03; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.03; 992; -1; -1
Sc0-3; 1; 1; 235565.00; -1; 0; 0; 3288; 444; 73; 235565.00; 233094.52; 0.03; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.03; 880; -1; -1
Sc0-4; 1; 1; 149514.00; -1; 0; 0; 3288; 492; 0; 150480.00; 144433.76; 0.03; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.03; 1236; -1; -1
Sc0-5; 1; 1; 320438.00; -1; 0; 0; 3288; 444; 0; 320438.00; 300746.84; 0.03; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.03; 1268; -1; -1
Sc0-6; 1; 1; 367405.00; -1; 0; 0; 3288; 504; 0; 367405.00; 343660.01; 0.03; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.05; 1088; -1; -1
Sc0-7; 1; 1; 195980.00; -1; 0; 0; 3288; 444; 30; 195980.00; 188039.69; 0.03; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.03; 848; -1; -1
Sc0-8; 1; 1; 164420.00; -1; 0; 0; 3288; 444; 25; 164420.00; 155145.81; 0.03; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.05; 956; -1; -1
Sc0-9; 1; 1; 195094.00; -1; 0; 0; 3288; 468; 115; 195094.00; 192990.59; 0.05; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.05; 1280; -1; -1
Sc0-10; 1; 1; 279463.00; -1; 0; 0; 3288; 468; 0; 279463.00; 231771.95; 0.03; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.03; 1060; -1; -1
Sc0-11; 1; 1; 465172.00; -1; 0; 0; 3288; 456; 88; 465172.00; 457865.39; 0.02; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.05; 808; -1; -1
Sc0-12; 1; 1; 272844.00; -1; 0; 0; 3288; 456; 0; 272844.00; 253665.91; 0.03; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.05; 1164; -1; -1
Sc0-13; 1; 1; 306268.00; -1; 0; 0; 3288; 492; 54; 306268.00; 303842.80; 0.03; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.05; 1216; -1; -1
Sc0-14; 1; 1; 247693.00; -1; 0; 0; 3288; 432; 15; 247693.00; 239695.59; 0.02; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.05; 872; -1; -1
Sc0-15; 1; 1; 288443.00; -1; 0; 0; 3288; 468; 111; 288443.00; 286262.64; 0.03; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.05; 968; -1; -1
Sc0-16; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc0-17; 1; 1; 445751.00; -1; 0; 0; 3288; 504; 0; 445751.00; 406247.55; 0.03; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.03; 928; -1; -1
Sc0-18; 1; 1; 252595.00; -1; 0; 0; 3288; 480; 18; 252595.00; 239895.57; 0.03; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.05; 1060; -1; -1
Sc0-19; 1; 1; 202776.00; -1; 1; 0; 3288; 456; 0; 202776.00; 202776.00; 0.00; 0; 1; 1; -1; -1; -1.00; -1; 0; 202776.00; 0.01; 940; -1; -1
Sc1-0; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-1; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-2; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-3; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-4; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-5; 1; 1; 340442.00; -1; 0; 0; 13500; 1872; 562; 340442.00; 339840.05; 0.16; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.20; 2296; -1; -1
Sc1-6; 1; 1; 515906.00; -1; 0; 0; 13500; 1656; 0; 515934.00; 440836.14; 0.11; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.16; 2728; -1; -1
Sc1-7; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-8; 1; 1; 218447.00; -1; 0; 0; 13500; 1548; 0; 218447.00; 204085.47; 0.13; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.19; 2880; -1; -1
