Scenario isInFeas isInstSolved MemLim TimLim #Nodes Time NbMachUsed

Sc4 1 1 49 5.000000 4.000000 685280
Sc4 1 * * 4.000000 4.000000 686557
Sc4 1 1 0 2.000000 4.000000 687150
Sc4 1 * * 3.000000 4.000000 687150
Sc4 1 1 0 2.000000 3.000000 524059
Sc4 1 * * 3.000000 3.000000 524059
Sc4 1 1 125 14.000000 4.000000 599453
Sc4 1 * * 11.000000 4.000000 599833
Sc4 1 1 246 7.000000 4.000000 771357
Sc4 1 * * 3.000000 4.000000 771357
Sc4 1 1 41 7.000000 4.000000 884930
Sc4 1 * * 4.000000 4.000000 892264
Sc4 1 1 115 16.000000 4.000000 1062748
Sc4 1 * * 17.000000 4.000000 1073155
Sc4 1 1 9 4.000000 4.000000 772524
Sc4 1 * * 3.000000 4.000000 772524
Sc4 1 1 7 3.000000 4.000000 562608
Sc4 1 * * 3.000000 4.000000 564596
Sc4 1 1 79 7.000000 4.000000 831495
Sc4 1 * * 6.000000 4.000000 836166
Sc4 1 1 45 26.000000 4.000000 1012225
Sc4 1 * * 23.000000 4.000000 1024336
Sc4 1 1 234 11.000000 4.000000 719439
Sc4 1 * * 3.000000 4.000000 724587
Sc4 1 1 21 5.000000 3.000000 1262228
Sc4 1 * * 5.000000 3.000000 1270274
Sc4 1 1 39 4.000000 4.000000 784094
Sc4 1 * * 3.000000 4.000000 784094
Sc5 1 1 2167 84.000000 4.000000 1103363
Sc5 1 * * 73.000000 4.000000 1104513
Sc5 1 1 602 76.000000 4.000000 967481
Sc5 1 * * 55.000000 4.000000 967481
Sc5 1 1 1959 269.000000 4.000000 664024
Sc5 1 * * 44.000000 4.000000 664024
Sc5 1 1 237 28.000000 4.000000 935120
Sc5 1 * * 10.000000 4.000000 951339
Sc5 1 1 147 12.000000 4.000000 891948
Sc5 1 * * 8.000000 4.000000 904053
Sc5 1 1 2328 336.000000 4.000000 808707
Sc5 1 * * 245.000000 4.000000 808707
Sc5 1 1 4196 167.000000 4.000000 759526
Sc5 1 * * 49.000000 4.000000 762315
Sc5 1 1 806 55.000000 4.000000 1115706
Sc5 1 * * 18.000000 4.000000 1127849
Sc5 1 0 10410 1800.000000 4.000000 1231440
Sc5 1 * * 401.000000 4.000000 1245192
Sc5 1 1 1223 19.000000 5.000000 778340
Sc5 1 * * 11.000000 5.000000 778377
Sc5 1 1 1016 123.000000 4.000000 1317207
Sc5 1 * * 64.000000 4.000000 1325550
Sc5 1 1 552 26.000000 4.000000 916873
Sc5 1 * * 8.000000 5.000000 919486
Sc5 1 1 1223 41.000000 4.000000 969842
Sc5 1 * * 6.000000 4.000000 977557
Sc5 1 1 847 326.000000 5.000000 1127098
Sc5 1 * * 159.000000 5.000000 1129850
Sc5 0 0 0 3.000000 -1.000000 9999999
Sc5 0 * * 3.000000 -1.000000 9999999
Sc5 1 1 904 27.000000 4.000000 913328
Sc5 1 * * 9.000000 4.000000 921306
Sc5 1 1 1089 78.000000 5.000000 972647
Sc5 1 * * 7.000000 5.000000 973821
Sc5 1 1 170 27.000000 4.000000 915965
Sc5 1 * * 65.000000 4.000000 916453
Sc5 0 0 0 2.000000 -1.000000 9999999
Sc5 0 * * 3.000000 -1.000000 9999999
Sc5 0 0 0 6.000000 -1.000000 9999999
Sc5 0 * * 6.000000 -1.000000 9999999
Sc6 0 0 0 4.000000 -1.000000 9999999
Sc6 0 * * 3.000000 -1.000000 9999999
Sc6 1 1 1908 72.000000 5.000000 1192629
Sc6 1 * * 41.000000 5.000000 1199113
Sc6 1 1 1379 181.000000 4.000000 1408833
Sc6 1 * * 350.000000 4.000000 1411976
Sc6 0 0 0 13.000000 -1.000000 9999999
Sc6 0 * * 14.000000 -1.000000 9999999
Sc6 1 1 536 125.000000 5.000000 1090016
Sc6 1 * * 76.000000 6.000000 1095436
Sc6 1 1 2544 45.000000 5.000000 1322732
Sc6 1 * * 17.000000 5.000000 1326718
Sc6 1 1 2713 229.000000 5.000000 995190
Sc6 1 * * 132.000000 5.000000 995868
Sc6 1 1 23887 1773.000000 5.000000 1209265
Sc6 1 * * 190.000000 5.000000 1214196
Sc6 1 0 12714 1801.000000 5.000000 1665424
Sc6 1 * * 401.000000 6.000000 1667750
Sc6 1 1 1698 89.000000 6.000000 1281383
Sc6 1 * * 40.000000 5.000000 1285362
Sc6 1 1 263 32.000000 6.000000 1443938
Sc6 1 * * 14.000000 5.000000 1468777
Sc6 1 1 644 16.000000 5.000000 1214791
Sc6 1 * * 6.000000 5.000000 1225868
Sc6 1 1 1613 123.000000 5.000000 1682750
Sc6 1 * * 53.000000 5.000000 1684197
Sc6 1 1 6237 826.000000 5.000000 1063928
Sc6 1 * * 112.000000 5.000000 1064234
Sc6 1 1 680 118.000000 5.000000 1278876
Sc6 1 * * 92.000000 5.000000 1289095
Sc6 1 1 162 68.000000 5.000000 1510229
Sc6 1 * * 48.000000 5.000000 1518040
Sc6 1 0 5622 1800.000000 5.000000 1370860
Sc6 1 * * 401.000000 5.000000 1370860
Sc6 1 1 133 29.000000 5.000000 1104168
Sc6 1 * * 27.000000 5.000000 1104168
Sc6 1 1 644 91.000000 5.000000 1523423
Sc6 1 * * 54.000000 5.000000 1530756
Sc6 1 1 220 21.000000 5.000000 1439883
Sc6 1 * * 19.000000 5.000000 1457376
