Sc(N/M); isFea(E); isOpt(E); sol(E); errCodeLP; isOptNoPre; isAllFixed; nbVar; nbVarValid; nbFixed; UB; LB; dureePre; isMIP; isFea; isOpt; TimLim; MemLim; nbMach; nbNode;  statusCode; sol; tempsTotal; nbConCut1; nbConCut2; nbConCut3
Sc0-0; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc0-1; 1; 1; 515201.00; -1; 0; 1; 3288; 492; 492; 515201.00; 515201.00; 0.55; 0; 1; 1; -1; -1; -1.00; -1; 0; 515201.00; 0.58; -1; 300; -1
Sc0-2; 1; 1; 377075.00; -1; 0; 0; 3288; 516; 0; 377075.00; 348407.82; 0.34; 1; 1; 1; -1; -1; 2.00; 0; 1; 377075.00; 3.93; -1; 216; -1
Sc0-3; 1; 1; 235565.00; -1; 0; 0; 3288; 444; 73; 235565.00; 233094.52; 0.27; 1; 1; 1; -1; -1; 2.00; 0; 1; 235565.00; 0.51; -1; 204; -1
Sc0-4; 1; 1; 149514.00; -1; 0; 1; 3288; 492; 492; 149514.00; 149514.00; 0.33; 0; 1; 1; -1; -1; -1.00; -1; 0; 149514.00; 0.36; -1; 252; -1
Sc0-5; 1; 1; 320438.00; -1; 0; 0; 3288; 444; 142; 320438.00; 318857.76; 0.36; 1; 1; 1; -1; -1; 2.00; 0; 1; 320438.00; 0.69; -1; 372; -1
Sc0-6; 1; 1; 367405.00; -1; 0; 0; 3288; 504; 72; 367405.00; 362138.69; 0.57; 1; 1; 1; -1; -1; 2.00; 0; 1; 367405.00; 0.91; -1; 324; -1
