Sc(N/M); isFea(E); isOpt(E); sol(E); time(E); nbMach(E);  MemLim(E); TimeLim(E); isFea(H1); sol(H); time(H); nbMach(H)
Sc6-7; 1; 0; 1018179.00; 1800.74; 5; 0; 1; 1;  1033179.00; 400.73; 5
Sc6-8; 1; 0; 1241208.00; 1800.83; 5; 0; 1; 1;  1248388.00; 400.79; 5
Sc6-9; 1; 0; 1794495.00; 1800.88; 4; 0; 1; 1;  1784842.00; 400.91; 4
Sc6-10; 1; 0; 1275516.00; 1800.82; 5; 0; 1; 1;  1348467.00; 410.43; 6
Sc6-11; 1; 1; 1442880.00; 1126.36; 6; 0; 0; 1;  1466090.00; 55.56; 6
Sc6-12; 1; 1; 1201386.00; 605.16; 5; 0; 0; 1;  1213554.00; 165.98; 5
Sc6-13; 1; 0; 1712712.00; 1800.75; 5; 0; 1; 1;  1711001.00; 400.73; 5
Sc6-14; 1; 0; 1090963.00; 1800.74; 5; 0; 1; 1;  1100191.00; 400.80; 5
Sc6-15; 1; 0; 1329373.00; 1800.88; 4; 0; 1; 1;  1333464.00; 400.75; 4
Sc6-16; 1; 0; 1520641.00; 1800.82; 6; 0; 1; 1;  1632011.00; 400.86; 5
Sc6-17; 1; 0; 1408485.00; 1800.76; 4; 0; 1; 1;  1413685.00; 400.79; 4
Sc6-18; 1; 1; 1102621.00; 518.39; 5; 0; 0; 1;  1109734.00; 126.63; 5
Sc6-19; 1; 0; 1556433.00; 1800.80; 5; 0; 1; 1;  1555875.00; 400.85; 6
Sc6-20; 1; 1; 1439883.00; 218.89; 5; 0; 0; 1;  1448583.00; 49.42; 5
