Sc(N/M); isFea(E); isOpt(E); sol(E); time(E); nbMach(E);  MemLim(E); TimeLim(E); isFea(H1); sol(H); time(H); nbMach(H)
Sc1-1; 0; 0; 9999999.00; 0.02; -1; 0; 0; 0;  218214.00; 0.00; 2
Sc1-2; 1; 1; 515201.00; 0.03; 2; 0; 0; 1;  614993.00; 0.00; 1
Sc1-3; 1; 1; 377075.00; 0.13; 2; 0; 0; 1;  386649.00; 0.00; 1
Sc1-4; 1; 1; 235565.00; 0.04; 2; 0; 0; 1;  258267.00; 0.00; 1
Sc1-5; 1; 1; 149514.00; 0.08; 2; 0; 0; 1;  159058.00; 0.00; 2
Sc1-6; 1; 1; 320438.00; 0.15; 2; 0; 0; 1;  371707.00; 0.00; 2
Sc1-7; 1; 1; 367405.00; 0.07; 2; 0; 0; 1;  395744.00; 0.00; 1
Sc1-8; 1; 1; 195980.00; 0.14; 2; 0; 0; 1;  287345.00; 0.00; 1
Sc1-9; 1; 1; 164420.00; 0.08; 2; 0; 0; 1;  274848.00; 0.00; 1
Sc1-10; 1; 1; 195094.00; 0.13; 2; 0; 0; 1;  208479.00; 0.00; 2
Sc1-11; 1; 1; 279463.00; 0.04; 2; 0; 0; 1;  279463.00; 0.00; 2
Sc1-12; 1; 1; 465172.00; 0.07; 1; 0; 0; 1;  548071.00; 0.00; 1
Sc1-13; 1; 1; 272844.00; 0.08; 2; 0; 0; 1;  275234.00; 0.00; 1
Sc1-14; 1; 1; 306268.00; 0.05; 2; 0; 0; 1;  306268.00; 0.00; 2
Sc1-15; 1; 1; 247693.00; 0.04; 2; 0; 0; 1;  272118.00; 0.00; 1
Sc1-16; 1; 1; 288443.00; 0.07; 1; 0; 0; 1;  288443.00; 0.00; 1
Sc1-17; 0; 0; 9999999.00; 0.02; -1; 0; 0; 0;  252615.00; 0.00; 2
Sc1-18; 1; 1; 445751.00; 0.07; 2; 0; 0; 1;  722691.00; 0.00; 1
Sc1-19; 1; 1; 252595.00; 0.06; 2; 0; 0; 1;  368503.00; 0.00; 1
Sc1-20; 1; 1; 202776.00; 0.08; 2; 0; 0; 1;  232667.00; 0.00; 2
Sc2-1; 0; 0; 9999999.00; 0.12; -1; 0; 0; 0;  279430.00; 0.00; 3
