Sc(N/M); #Infeas; #Solved; #Mem; #Tim; TMin; TAvg; TMax; #Infeas; #Solved; TMin; TAvg; TMax; DevMin; DevAvg; DevMax
Sc1(8/2); 4; 16; 0; 0; 0.01; 0.06; 0.34; 4; 16; 0.00; 0.00; 0.01; 0.00; 0.19; 0.93
Sc2(11/3); 9; 11; 0; 0; 0.08; 0.23; 0.84; 10; 10; 0.00; 0.00; 0.01; 0.05; 0.20; 0.42
Sc3(15/4); 3; 17; 0; 0; 0.36; 18.00; 150.85; 12; 8; 0.00; 0.00; 0.01; 0.07; 0.19; 0.43
Sc4(18/5); 2; 15; 2; 1; 1.00; 331.41; 1800.34; 10; 10; 0.00; 0.00; 0.00; 0.16; 0.33; 0.44
Sc5(21/5); 2; 7; 1; 10; 1.81; 1190.52; 1800.42; 18; 2; 0.00; 0.00; 0.01; 0.32; 0.35; 0.38
Sc6(24/6); 5; 2; 0; 13; 1.78; 1223.90; 1801.00; 20; 0; 0.00; 0.01; 0.01; *; *;*
