Sc(N/M); isFea(E); isOpt(E); sol(E); time(E); nbMach(E);  MemLim(E); TimeLim(E); isFea(H1); sol(H); time(H); nbMach(H)
Sc4-2; 1; 0; 761443.00; 1800.34; 4; 0; 1; 1;  787598.00; 400.33; 4
Sc4-3; 0; 0; 9999999.00; 1.00; -1; 0; 0; 0;  9999999.00; 1.00; -1
Sc4-4; 1; 1; 843699.00; 8.50; 5; 0; 0; 1;  847826.00; 5.69; 4
Sc4-5; 1; 1; 995567.00; 760.11; 4; 0; 0; 1;  1000686.00; 238.08; 4
Sc4-6; 1; 1; 770318.00; 33.33; 4; 0; 0; 1;  770346.00; 17.76; 5
Sc4-7; 1; 1; 755255.00; 12.97; 3; 0; 0; 1;  755925.00; 4.70; 3
Sc4-8; 0; 0; 9999999.00; 1.70; -1; 0; 0; 0;  9999999.00; 1.71; -1
Sc4-9; 1; 1; 688938.00; 21.61; 4; 0; 0; 1;  697548.00; 11.74; 4
Sc4-10; 1; 1; 639127.00; 143.07; 4; 0; 0; 1;  643043.00; 19.55; 4
Sc4-11; 1; 1; 814849.00; 52.03; 4; 0; 0; 1;  819152.00; 24.59; 4
Sc4-12; 1; 0; 617946.00; 1495.54; 4; 1; 0; 1;  620325.00; 400.34; 4
Sc4-13; 1; 1; 703916.00; 116.86; 4; 0; 0; 1;  705835.00; 18.89; 4
Sc4-14; 1; 1; 788033.00; 226.60; 4; 0; 0; 1;  793203.00; 15.64; 4
Sc4-15; 1; 1; 701959.00; 15.84; 4; 0; 0; 1;  705789.00; 10.33; 4
Sc4-16; 1; 0; 600293.00; 1628.91; 4; 1; 0; 1;  601746.00; 400.32; 5
Sc4-17; 1; 1; 729542.00; 46.72; 4; 0; 0; 1;  740348.00; 5.98; 4
Sc4-18; 1; 1; 693882.00; 179.47; 4; 0; 0; 1;  694585.00; 33.71; 4
Sc4-19; 1; 1; 740401.00; 38.14; 4; 0; 0; 1;  746215.00; 17.99; 5
Sc4-20; 1; 1; 1093477.00; 32.08; 4; 0; 0; 1;  1109764.00; 8.53; 4
Sc5-1; 1; 1; 653955.00; 871.31; 4; 0; 0; 1;  656819.00; 10.17; 4
Sc5-2; 1; 1; 1177461.00; 1419.20; 5; 0; 0; 1;  1186553.00; 400.38; 5
Sc5-3; 1; 0; 984607.00; 1800.42; 4; 0; 1; 1;  1011037.00; 400.63; 4
Sc5-4; 0; 0; 9999999.00; 3.56; -1; 0; 0; 0;  9999999.00; 3.49; -1
Sc5-5; 1; 0; 813285.00; 1800.39; 4; 0; 1; 1;  823128.00; 400.38; 4
Sc5-6; 1; 1; 938798.00; 256.75; 4; 0; 0; 1;  951600.00; 12.15; 5
Sc5-7; 1; 0; 727636.00; 1800.41; 5; 0; 1; 1;  739678.00; 400.39; 4
Sc5-8; 1; 0; 806015.00; 1800.38; 4; 0; 1; 1;  815429.00; 400.37; 4
Sc5-9; 1; 0; 973583.00; 1800.41; 4; 0; 1; 1;  1033130.00; 400.38; 4
Sc5-10; 1; 0; 910182.00; 1800.42; 4; 0; 1; 1;  948109.00; 400.37; 5
Sc5-11; 1; 1; 879054.00; 121.07; 4; 0; 0; 1;  886824.00; 43.08; 5
Sc5-12; 0; 0; 9999999.00; 1.81; -1; 0; 0; 0;  9999999.00; 1.81; -1
Sc5-13; 1; 1; 914792.00; 1526.70; 4; 0; 0; 1;  922804.00; 293.24; 4
Sc5-14; 1; 1; 639093.00; 22.72; 4; 0; 0; 1;  646801.00; 11.14; 4
Sc5-15; 1; 0; 583783.00; 1800.42; 4; 0; 1; 1;  590652.00; 400.44; 4
Sc5-16; 1; 0; 1343292.00; 1800.39; 5; 0; 1; 1;  1344252.00; 400.38; 5
Sc5-17; 1; 0; 962289.00; 1800.39; 4; 0; 1; 1;  1049391.00; 400.38; 4
Sc5-18; 1; 1; 890286.00; 290.07; 4; 0; 0; 1;  901727.00; 26.45; 5
Sc5-19; 1; 0; 1111053.00; 1800.39; 5; 0; 1; 1;  1157460.00; 400.38; 4
Sc5-20; 1; 0; 1029248.00; 1293.12; 4; 1; 0; 1;  1016607.00; 400.43; 4
Sc6-1; 0; 0; 9999999.00; 1.97; -1; 0; 0; 0;  9999999.00; 1.94; -1
Sc6-2; 1; 1; 1349841.00; 962.71; 5; 0; 0; 1;  1353611.00; 318.68; 5
Sc6-3; 1; 0; 1749378.00; 1800.74; 5; 0; 1; 1;  1830458.00; 400.75; 4
Sc6-4; 1; 0; 1353494.00; 1800.74; 5; 0; 1; 1;  1383710.00; 400.75; 5
Sc6-5; 1; 0; 1179927.00; 1800.74; 6; 0; 1; 1;  1211244.00; 400.72; 5
Sc6-6; 1; 0; 1642477.00; 1800.80; 5; 0; 1; 1;  1696171.00; 400.73; 5
Sc6-7; 0; 0; 9999999.00; 9.15; -1; 0; 0; 0;  9999999.00; 9.10; -1
Sc6-8; 1; 0; 1346953.00; 1800.76; 5; 0; 1; 1;  1397089.00; 400.75; 6
Sc6-9; 1; 1; 1584900.00; 87.98; 5; 0; 0; 1;  1584914.00; 53.37; 5
Sc6-10; 1; 0; 1232616.00; 1800.71; 5; 0; 1; 1;  1238420.00; 313.26; 5
Sc6-11; 0; 0; 9999999.00; 1.78; -1; 0; 0; 0;  9999999.00; 1.76; -1
Sc6-12; 1; 0; 1379100.00; 1801.00; 5; 0; 1; 1;  1438801.00; 400.73; 5
Sc6-13; 0; 0; 9999999.00; 1.80; -1; 0; 0; 0;  9999999.00; 1.78; -1
Sc6-14; 1; 0; 1618797.00; 1800.75; 5; 0; 1; 1;  1623365.00; 400.75; 5
Sc6-15; 1; 0; 1656384.00; 1800.77; 4; 0; 1; 1;  1749882.00; 400.76; 4
Sc6-16; 1; 0; 1435878.00; 1800.74; 5; 0; 1; 1;  1457292.00; 400.73; 5
Sc6-17; 1; 0; 1766626.00; 1800.74; 5; 0; 1; 1;  1812185.00; 400.74; 5
Sc6-18; 1; 0; 1500484.00; 1800.73; 5; 0; 1; 1;  1777018.00; 400.72; 5
Sc6-19; 0; 0; 9999999.00; 2.76; -1; 0; 0; 0;  9999999.00; 2.74; -1
Sc6-20; 1; 0; 1363472.00; 1800.74; 5; 0; 1; 1;  1386779.00; 400.72; 5
