Sc(N/M); isFea(E); isOpt(E); sol(E); time(E); isFea(H1); sol(H1); time(H1); isFea(H2); sol(H2); time(H2); isOptNoPre; isAllFixed; LB; UB; nbBool; nbFixed; nbBoolX; nbFixedX
Sc2-18; 1; 1; 480257.00; 0.10; 1; 480968.00; 0.00; 1; 483841.00; 0.08; 0; 0; 457288.33; 480968.00; 13500; 80; 396; 16
Sc2-19; 1; 1; 211334.00; 0.22; 1; 269790.00; 0.00; 1; 211334.00; 0.22; 0; 0; 211250.00; 211334.00; 13500; 960; 396; 168
Sc2-20; 0; 0; 9999999.00; 0.04; 1; 232667.00; 0.00; 1; 202776.00; 0.02; 1; 0; 202776.00; 202776.00; 3288; 3288; 192; 192
Sc3-1; 1; 1; 697406.00; 1.45; 0; 787136.00; 0.00; 1; 697406.00; 1.45; 0; 0; 669248.66; 697406.00; 43968; 0; 720; 0
Sc3-2; 1; 1; 1046434.00; 1.00; 0; 1165785.00; 0.00; 1; 1061265.00; 0.45; 0; 0; 1013478.06; 1061265.00; 43968; 0; 720; 0
Sc3-3; 0; 0; 9999999.00; 0.36; 1; 386649.00; 0.00; 1; 377075.00; 0.03; 0; 0; 321882.22; 377075.00; 3288; 0; 192; 0
Sc3-4; 1; 1; 681550.00; 1.39; 1; 806137.00; 0.00; 1; 685407.00; 0.83; 0; 0; 651590.14; 685407.00; 43968; 0; 720; 0
Sc3-5; 1; 1; 642969.00; 0.63; 1; 824045.00; 0.00; 1; 649468.00; 0.48; 0; 0; 625005.41; 649468.00; 43968; 0; 720; 0
Sc3-6; 1; 1; 649678.00; 1.64; 1; 806813.00; 0.00; 1; 650804.00; 0.77; 0; 0; 632475.68; 650804.00; 43968; 18; 720; 1
Sc3-7; 1; 1; 685571.00; 0.68; 1; 798349.00; 0.00; 1; 697925.00; 0.45; 0; 0; 652988.44; 697925.00; 43968; 0; 720; 0
Sc3-8; 1; 1; 691744.00; 1.43; 0; 862747.00; 0.00; 1; 693681.00; 0.78; 0; 0; 621759.79; 693681.00; 43968; 0; 720; 0
Sc3-9; 1; 1; 478191.00; 0.76; 1; 627669.00; 0.00; 1; 478191.00; 0.75; 0; 0; 457718.73; 478191.00; 43968; 30; 720; 5
Sc3-10; 1; 1; 578628.00; 0.31; 1; 706837.00; 0.00; 1; 578628.00; 0.30; 0; 0; 562194.14; 578628.00; 43968; 6; 720; 6
Sc3-11; 1; 1; 620056.00; 0.49; 1; 768273.00; 0.00; 1; 621243.00; 0.38; 0; 0; 606881.91; 621243.00; 43968; 183; 720; 8
Sc3-12; 1; 1; 854297.00; 1.40; 1; 899288.00; 0.00; 1; 856078.00; 0.44; 0; 0; 824049.77; 856078.00; 43968; 0; 720; 0
Sc3-13; 1; 1; 534848.00; 1.59; 0; 774264.00; 0.00; 1; 538648.00; 0.72; 0; 0; 520218.28; 538648.00; 43968; 4; 720; 4
Sc3-14; 1; 1; 768176.00; 2.02; 0; 837239.00; 0.00; 1; 768176.00; 2.00; 0; 0; 717239.71; 768176.00; 43968; 0; 720; 0
Sc3-15; 1; 1; 656760.00; 0.55; 1; 815778.00; 0.00; 1; 656760.00; 0.53; 0; 0; 635367.16; 656760.00; 43968; 9; 720; 0
Sc3-16; 1; 1; 426840.00; 0.53; 1; 560883.00; 0.00; 1; 426840.00; 0.52; 0; 0; 422144.06; 426840.00; 43968; 471; 720; 53
Sc3-17; 1; 1; 614073.00; 30.09; 1; 971789.00; 0.00; 1; 614073.00; 2.43; 0; 0; 586937.32; 614073.00; 43968; 0; 720; 0
Sc3-18; 1; 1; 889584.00; 1.62; 1; 993781.00; 0.00; 1; 893973.00; 0.63; 0; 0; 836275.08; 893973.00; 43968; 0; 720; 0
Sc3-19; 1; 1; 779883.00; 0.57; 0; 866737.00; 0.00; 1; 779883.00; 0.56; 0; 0; 745922.20; 779883.00; 43968; 0; 720; 0
Sc3-20; 1; 1; 586218.00; 0.39; 1; 654793.00; 0.00; 1; 586218.00; 0.36; 0; 0; 568243.96; 586218.00; 43968; 0; 720; 0
Sc4-1; 1; 1; 784819.00; 81.68; 0; 876937.00; 0.00; 1; 784991.00; 18.43; 0; 0; 725206.20; 784991.00; 98340; 0; 1080; 0
Sc4-2; 1; 1; 861493.00; 672.16; 0; 927543.00; 0.00; 1; 862141.00; 200.21; 0; 0; 780119.40; 862141.00; 98340; 0; 1080; 0
Sc4-3; 1; 1; 977031.00; 94.44; 1; 1189756.00; 0.00; 1; 980050.00; 23.26; 0; 0; 858188.73; 980050.00; 98340; 0; 1080; 0
Sc4-4; 1; 1; 818180.00; 6.29; 1; 965276.00; 0.01; 1; 829155.00; 2.45; 0; 0; 798805.55; 829155.00; 98340; 0; 1080; 0
Sc4-5; 1; 1; 619845.00; 6.80; 0; 827908.00; 0.00; 1; 631066.00; 3.81; 0; 0; 607678.17; 631066.00; 98340; 0; 1080; 0
Sc4-6; 1; 1; 655111.00; 783.99; 0; 782265.00; 0.00; 1; 666933.00; 200.16; 0; 0; 612794.26; 666933.00; 98340; 0; 1080; 0
Sc4-7; 1; 1; 685280.00; 3.98; 1; 933111.00; 0.00; 1; 686324.00; 1.25; 0; 0; 672706.43; 686324.00; 98340; 120; 1080; 24
Sc4-8; 1; 1; 687150.00; 2.56; 1; 876408.00; 0.00; 1; 691608.00; 1.03; 0; 0; 673852.33; 691608.00; 98340; 0; 1080; 0
Sc4-9; 1; 1; 524059.00; 1.12; 1; 696624.00; 0.00; 1; 524059.00; 0.87; 0; 0; 523806.15; 524059.00; 98340; 4774; 1080; 638
Sc4-10; 1; 1; 591784.00; 65.47; 0; 647450.00; 0.00; 1; 594336.00; 29.45; 0; 0; 558910.49; 594336.00; 98340; 0; 1080; 0
Sc4-11; 1; 1; 771357.00; 11.65; 0; 1036030.00; 0.00; 1; 774630.00; 5.55; 0; 0; 752697.89; 774630.00; 98340; 0; 1080; 0
Sc4-12; 1; 1; 884930.00; 20.58; 1; 1104422.00; 0.00; 1; 884958.00; 4.52; 0; 0; 834708.06; 884958.00; 98340; 0; 1080; 0
Sc4-13; 1; 1; 1062748.00; 71.04; 0; 1265931.00; 0.01; 1; 1069568.00; 15.83; 0; 0; 1001359.70; 1069568.00; 98340; 0; 1080; 0
Sc4-14; 1; 1; 772524.00; 10.05; 0; 891615.00; 0.01; 1; 779714.00; 7.63; 0; 0; 718604.48; 779714.00; 98340; 0; 1080; 0
Sc4-15; 1; 1; 562608.00; 4.95; 1; 768570.00; 0.00; 1; 562622.00; 1.95; 0; 0; 548782.13; 562622.00; 98340; 0; 1080; 0
Sc4-16; 1; 1; 824827.00; 16.33; 0; 957687.00; 0.00; 1; 830473.00; 13.10; 0; 0; 776135.16; 830473.00; 98340; 0; 1080; 0
Sc4-17; 1; 1; 1001072.00; 117.55; 0; 1069715.00; 0.00; 1; 1003591.00; 69.53; 0; 0; 875317.36; 1003591.00; 98340; 0; 1080; 0
Sc4-18; 1; 1; 717281.00; 8.80; 1; 952168.00; 0.00; 1; 721179.00; 1.92; 0; 0; 698418.44; 721179.00; 98340; 0; 1080; 0
Sc4-19; 1; 1; 1262228.00; 9.95; 0; 1262299.00; 0.00; 1; 1265815.00; 7.85; 0; 0; 1142630.32; 1265815.00; 98340; 0; 1080; 0
Sc4-20; 1; 1; 784094.00; 4.43; 1; 863041.00; 0.00; 1; 786200.00; 2.12; 0; 0; 765706.88; 786200.00; 98340; 2; 1080; 2
Sc5-1; 1; 0; 1132468.00; 1800.21; 0; 876937.00; 0.00; 1; 784991.00; 18.43; 0; 0; 725206.20; 784991.00; 98340; 0; 1080; 0
Sc5-2; 1; 0; 966248.00; 1800.29; 0; 927543.00; 0.00; 1; 862141.00; 200.21; 0; 0; 780119.40; 862141.00; 98340; 0; 1080; 0
Sc5-3; 1; 0; 668945.00; 1800.21; 1; 1189756.00; 0.00; 1; 980050.00; 23.26; 0; 0; 858188.73; 980050.00; 98340; 0; 1080; 0
Sc5-4; 1; 1; 935106.00; 110.95; 1; 1255938.00; 0.00; 1; 948898.00; 23.04; 0; 0; 906417.61; 948898.00; 133620; 0; 1260; 0
