Sc(N/M); 1-cutSeuil; sol_nopre; UB; LB; isOptNoPre; isAllFixed; isMipExecuted; sol_pre; statusCode; nbVar; nbFixed; nbNode; tempsTotal; nbConCut2
Sc1-2;0; 515201.00; 515201.00; 515201.00;0;1;0; 515201.00;0;492;492;-1; 0.57;300
Sc1-3;0; 377075.00; 515201.00; 515201.00;0;1;0; 515201.00;0;492;492;-1; 0.57;300
Sc1-4;0; 235565.00; 515201.00; 515201.00;0;1;0; 515201.00;0;492;492;-1; 0.57;300
Sc1-5;0; 149514.00; 149514.00; 149514.00;0;1;0; 149514.00;0;492;492;-1; 0.05;252
Sc1-6;0; 320438.00; 320438.00; 318857.76;0;0;1; 320438.00;1;444;142;0; 0.09;372
Sc1-7;0; 367405.00; 367405.00; 362138.69;0;0;1; 367405.00;1;504;72;0; 0.09;324
Sc1-8;0; 195980.00; 195980.00; 189371.52;0;0;1; 195980.00;1;444;30;0; 0.08;312
Sc1-9;0; 164420.00; 164420.00; 159086.27;0;0;1; 164420.00;1;444;38;0; 0.11;240
Sc1-10;0; 195094.00; 195094.00; 195094.00;0;1;0; 195094.00;0;468;468;-1; 0.05;324
Sc1-11;0; 279463.00; 279463.00; 231771.95;0;0;1; 279463.00;1;468;0;0; 0.06;252
Sc1-12;0; 465172.00; 465172.00; 465172.00;0;1;0; 465172.00;0;456;456;-1; 0.03;180
Sc1-13;0; 272844.00; 272844.00; 267704.69;0;0;1; 272844.00;1;456;40;0; 0.09;288
Sc1-14;0; 306268.00; 306268.00; 306268.00;0;1;0; 306268.00;0;492;492;-1; 0.05;372
Sc1-15;0; 247693.00; 247693.00; 247693.00;0;1;0; 247693.00;0;432;432;-1; 0.03;276
Sc1-16;0; 288443.00; 288443.00; 288443.00;0;1;0; 288443.00;0;468;468;-1; 0.05;300
Sc1-18;0; 445751.00; 445751.00; 407004.12;0;0;1; 445751.00;1;504;0;0; 0.08;276
Sc1-19;0; 252595.00; 252595.00; 239895.57;0;0;1; 252595.00;1;480;18;0; 0.06;264
Sc1-20;0; 202776.00; 202776.00; 202776.00;1;0;0; 202776.00;0;456;0;-1; 0.01;360
Sc2-6;0; 340442.00; 340442.00; 340302.00;0;0;1; 340442.00;102;1872;854;0; 0.31;768
Sc2-7;0; 515906.00; 515934.00; 454139.57;0;0;1; 515906.00;102;1656;0;0; 0.51;768
Sc2-9;0; 218447.00; 218447.00; 214661.00;0;0;1; 218447.00;1;1548;61;0; 0.58;552
Sc2-11;0; 371170.00; 371170.00; 344717.14;0;0;1; 371170.00;1;1512;0;0; 0.22;456
Sc2-12;0; 336176.00; 336176.00; 314277.47;0;0;1; 336176.00;102;1728;10;11; 0.67;588
Sc2-13;0; 196254.00; 196254.00; 196086.00;0;0;1; 196254.00;1;1656;850;0; 0.27;768
Sc2-14;0; 299215.00; 299215.00; 283996.55;0;0;1; 299215.00;1;1548;13;100; 0.81;696
Sc2-15;0; 448360.00; 448360.00; 419353.93;0;0;1; 448360.00;1;1656;0;0; 0.31;432
Sc2-17;0; 765950.00; 765950.00; 719665.20;0;0;1; 765950.00;102;1476;0;0; 0.27;348
Sc2-18;0; 480257.00; 483841.00; 457288.33;0;0;1; 480257.00;102;1656;80;0; 0.27;504
Sc2-19;0; 211334.00; 211334.00; 211250.00;0;0;1; 211334.00;102;1440;960;0; 0.23;696
Sc3-1;0; 697406.00; 697406.00; 669248.66;0;0;1; 697406.00;1;4296;0;0; 2.04;1500
Sc3-2;0; 1046434.00; 1061265.00; 1016836.16;0;0;1; 1046434.00;102;4368;0;0; 1.86;1332
Sc3-4;0; 681550.00; 685407.00; 651590.14;0;0;1; 681550.00;102;4872;0;0; 1.70;1968
Sc3-5;0; 642969.00; 649468.00; 625005.41;0;0;1; 642969.00;1;4584;0;0; 1.12;1764
Sc3-6;0; 649678.00; 650804.00; 632475.68;0;0;1; 649678.00;102;4224;18;19; 1.76;1764
Sc3-7;0; 685571.00; 697925.00; 667183.35;0;0;1; 685557.00;102;4152;0;0; 1.12;1632
Sc3-8;0; 691744.00; 693681.00; 626744.90;0;0;1; 691744.00;1;4800;0;9; 1.75;1596
Sc3-9;0; 478191.00; 478191.00; 457718.73;0;0;1; 478177.00;102;3936;30;0; 1.14;1956
Sc3-10;0; 578628.00; 578628.00; 562194.14;0;0;1; 578628.00;1;4152;6;0; 0.81;1764
Sc3-11;0; 620056.00; 621243.00; 614005.23;0;0;1; 620056.00;102;4368;485;0; 1.19;1800
Sc3-12;0; 854297.00; 856078.00; 826506.79;0;0;1; 854297.00;1;4440;0;0; 2.03;1500
Sc3-13;0; 534848.00; 538648.00; 522541.30;0;0;1; 534848.00;102;4584;48;156; 2.82;1704
Sc3-14;0; 768176.00; 768176.00; 718297.83;0;0;1; 768176.00;1;4368;0;0; 2.32;1320
Sc3-15;0; 656760.00; 656760.00; 639727.11;0;0;1; 656760.00;102;4008;64;0; 1.23;1560
Sc3-16;0; 426840.00; 426840.00; 422144.06;0;0;1; 426840.00;102;4296;471;0; 0.84;1284
Sc3-17;0; 614073.00; 614073.00; 589417.81;0;0;1; 614073.00;102;4296;0;2496; 24.85;1500
Sc3-18;0; 889584.00; 893973.00; 836331.55;0;0;1; 889612.00;102;4080;0;22; 2.50;1512
Sc3-19;0; 779883.00; 779883.00; 776485.00;0;0;1; 779883.00;1;4224;677;0; 1.17;1920
Sc3-20;0; 586218.00; 586218.00; 569768.94;0;0;1; 586218.00;1;4512;7;0; 1.03;1380
Sc4-1;1800; 784819.00; 784991.00; 725235.75;0;0;1; 784819.00;102;9300;0;8231; 130.97;1834
Sc4-2;1800; 861493.00; 862141.00; 780151.57;0;0;1; 861493.00;102;9540;0;60019; 996.10;1830
Sc4-3;1800; 977031.00; 980050.00; 875411.95;0;0;1; 977031.00;102;8820;0;7780; 107.87;1812
Sc4-4;1800; 818180.00; 829155.00; 800397.72;0;0;1; 818180.00;102;9420;0;398; 9.24;1836
Sc4-5;1800; 619845.00; 631066.00; 607724.82;0;0;1; 619845.00;102;8460;0;46; 6.74;1824
Sc4-6;1800; 655111.00; 666412.00; 612801.10;0;0;1; 655111.00;102;8820;0;13303; 501.82;1834
Sc4-7;1800; 685280.00; 686324.00; 673060.77;0;0;1; 685280.00;102;8100;120;23; 5.46;1824
Sc4-8;1800; 687150.00; 691608.00; 678044.67;0;0;1; 687150.00;102;8820;101;0; 4.35;1812
Sc4-9;1800; 524059.00; 524059.00; 523807.00;0;0;1; 524059.00;102;8580;4774;0; 1.59;1824
Sc4-10;1800; 591784.00; 594336.00; 566985.26;0;0;1; 591784.00;102;9300;0;5354; 62.06;1806
Sc4-11;1800; 771357.00; 774630.00; 752697.89;0;0;1; 771357.00;102;9060;0;1423; 14.84;1812
Sc4-12;1800; 884930.00; 884958.00; 835046.25;0;0;1; 884930.00;102;9900;0;3336; 23.93;1820
Sc4-13;1800; 1062748.00; 1069568.00; 1005515.39;0;0;1; 1062748.00;102;10020;0;3665; 36.07;1821
Sc4-14;1800; 772524.00; 779714.00; 723250.93;0;0;1; 772524.00;102;8940;0;165; 10.02;1810
Sc4-15;1800; 562608.00; 562622.00; 549483.52;0;0;1; 562608.00;102;7980;0;47; 6.94;1822
Sc4-16;1800; 824827.00; 830473.00; 777300.71;0;0;1; 824827.00;102;9300;0;434; 15.91;1807
Sc4-17;1800; 1001072.00; 1003591.00; 884920.86;0;0;1; 1001072.00;102;9420;0;5142; 143.68;1813
Sc4-18;1800; 717281.00; 721179.00; 698418.44;0;0;1; 717281.00;102;8220;0;1472; 14.99;1836
Sc4-19;1800; 1262228.00; 1265815.00; 1145623.04;0;0;1; 1262228.00;1;9180;0;317; 12.09;1803
Sc4-20;1800; 784094.00; 786200.00; 766632.69;0;0;1; 784094.00;1;8940;2;321; 8.44;1814
Sc5-1;1200; 1132468.00; 1195645.00; 1018428.17;0;0;1; 1146851.00;11;12120;0;17631; 1807.45;1209
