Sc(N/M); #Infeas; #Solved; #Mem; #Tim; TMin; TAvg; TMax; #Infeas; #Solved; TMin; TAvg; TMax; DevMin; DevAvg; DevMax
Sc1(8/2); 4; 16; 0; 0; 0.01; 0.06; 0.34; 4; 16; 0.01; 0.06; 0.20; 0.00; 0.00; 0.00
Sc2(11/3); 9; 11; 0; 0; 0.08; 0.23; 0.84; 9; 11; 0.08; 0.18; 0.37; 0.00; 0.00; 0.01
Sc3(15/4); 3; 17; 0; 0; 0.36; 18.00; 150.85; 3; 17; 0.36; 7.73; 78.33; 0.00; 0.00; 0.01
Sc4(18/5); 2; 15; 2; 1; 1.00; 331.41; 1800.34; 2; 18; 1.00; 82.13; 400.34; 0.00; 0.01; 0.03
Sc5(21/5); 2; 7; 1; 10; 1.81; 1190.52; 1800.42; 2; 18; 1.81; 260.32; 400.63; -0.01; 0.02; 0.09
Sc6(24/6); 5; 2; 0; 13; 1.78; 1223.90; 1801.00; 5; 15; 1.76; 275.57; 400.76; 0.00; 0.03; 0.18
