Sc(N/M); isFea(E); isOpt(E); sol(E); time(E); nbMach(E);  MemLim(E); TimeLim(E); isFea(H1); sol(H); time(H); nbMach(H)
Sc4-3; 0; 0; 9999999.00; 1.00; -1; 0; 0; 0;  971460.00; 0.00; 4
Sc4-4; 1; 1; 843699.00; 8.50; 5; 0; 0; 0;  1007289.00; 0.00; 4
Sc4-5; 1; 1; 995567.00; 760.11; 4; 0; 0; 1;  1154325.00; 0.00; 4
Sc4-6; 1; 1; 770318.00; 33.33; 4; 0; 0; 1;  1110598.00; 0.00; 3
Sc4-7; 1; 1; 755255.00; 12.97; 3; 0; 0; 0;  997419.00; 0.00; 3
Sc4-8; 0; 0; 9999999.00; 1.70; -1; 0; 0; 0;  942311.00; 0.00; 3
Sc4-9; 1; 1; 688938.00; 21.61; 4; 0; 0; 1;  923867.00; 0.00; 3
Sc4-10; 1; 1; 639127.00; 143.07; 4; 0; 0; 1;  912900.00; 0.00; 3
Sc4-11; 1; 1; 814849.00; 52.03; 4; 0; 0; 0;  1196549.00; 0.00; 3
Sc4-12; 1; 0; 617946.00; 1495.54; 4; 1; 0; 1;  829715.00; 0.00; 3
Sc4-13; 1; 1; 703916.00; 116.86; 4; 0; 0; 0;  805101.00; 0.00; 3
Sc4-14; 1; 1; 788033.00; 226.60; 4; 0; 0; 1;  1066714.00; 0.00; 3
Sc4-15; 1; 1; 701959.00; 15.84; 4; 0; 0; 0;  698663.00; 0.00; 3
Sc4-16; 1; 0; 600293.00; 1628.91; 4; 1; 0; 1;  794580.00; 0.00; 3
Sc4-17; 1; 1; 729542.00; 46.72; 4; 0; 0; 0;  936853.00; 0.00; 4
Sc4-18; 1; 1; 693882.00; 179.47; 4; 0; 0; 1;  898120.00; 0.00; 4
Sc4-19; 1; 1; 740401.00; 38.14; 4; 0; 0; 1;  992807.00; 0.00; 3
Sc4-20; 1; 1; 1093477.00; 32.08; 4; 0; 0; 0;  1259163.00; 0.00; 4
Sc5-1; 1; 1; 653955.00; 871.31; 4; 0; 0; 0;  967636.00; 0.01; 3
Sc5-2; 1; 1; 1177461.00; 1419.20; 5; 0; 0; 0;  1275702.00; 0.00; 4
Sc5-3; 1; 0; 984607.00; 1800.42; 4; 0; 1; 0;  1141283.00; 0.01; 4
Sc5-4; 0; 0; 9999999.00; 3.56; -1; 0; 0; 0;  1107766.00; 0.00; 5
Sc5-5; 1; 0; 813285.00; 1800.39; 4; 0; 1; 1;  1125157.00; 0.00; 4
Sc5-6; 1; 1; 938798.00; 256.75; 4; 0; 0; 0;  1186963.00; 0.00; 3
Sc5-7; 1; 0; 727636.00; 1800.41; 5; 0; 1; 0;  904898.00; 0.01; 4
Sc5-8; 1; 0; 806015.00; 1800.38; 4; 0; 1; 0;  942309.00; 0.00; 4
Sc5-9; 1; 0; 973583.00; 1800.41; 4; 0; 1; 0;  1512229.00; 0.00; 3
Sc5-10; 1; 0; 910182.00; 1800.42; 4; 0; 1; 0;  965724.00; 0.00; 3
Sc5-11; 1; 1; 879054.00; 121.07; 4; 0; 0; 1;  1158119.00; 0.00; 4
Sc5-12; 0; 0; 9999999.00; 1.81; -1; 0; 0; 0;  1141622.00; 0.01; 4
Sc5-13; 1; 1; 914792.00; 1526.70; 4; 0; 0; 0;  1172617.00; 0.01; 3
Sc5-14; 1; 1; 639093.00; 22.72; 4; 0; 0; 0;  740133.00; 0.01; 4
Sc5-15; 1; 0; 583783.00; 1800.42; 4; 0; 1; 0;  776067.00; 0.00; 3
Sc5-16; 1; 0; 1343292.00; 1800.39; 5; 0; 1; 0;  1539556.00; 0.00; 4
