Sc(N/M); 1-cutSeuil; sol_nopre; UB; LB; isOptNoPre; isAllFixed; isMipExecuted; sol_pre; statusCode; nbVar; nbFixed; nbX; nbXFixed; nbNode; tempsTotal; nbConCut2
Sc1-2; 0; 515201.00; 515201.00; 515201.00; 0; 1; 0; 515201.00; 0; 492; 492; 192; 79; -1; 0.65; 300
Sc1-3; 0; 377075.00; 377075.00; 348407.82; 0; 0; 1; 377075.00; 1; 516; 0; 192; 0; 0; 0.71; 216
